model,model_key,batch_size,seq_len,warmup_steps,measured_steps,backend,step_time_s,tokens_per_s,gpu_allocated_gib,gpu_reserved_gib,cpu_peak_rss_gib,source_result
Qwen3-4B,4b,1,1024,3,10,SlideFormer repo,2.0058765915768855,510.5,3.68623046875,3.71484375,51.774112701416016,qwen3_4b_bs1_3w10s_slideformer_repo.csv
Qwen3-4B,4b,1,1024,3,10,Megatron-LM-FL,1.8701114365831017,547.560952769189,2.94368314743042,3.109375,49.99613952636719,qwen3_4b_bs1_3w10s_megatron_fl.json
Qwen3-4B,4b,2,1024,3,10,SlideFormer repo,2.006466150680905,1020.7,3.74345703125,3.7734375,51.7740364074707,qwen3_4b_bs2_3w10s_slideformer_repo.csv
Qwen3-4B,4b,2,1024,3,10,Megatron-LM-FL,1.887868759036064,1084.8211721272924,2.958362102508545,3.24609375,50.27777099609375,qwen3_4b_bs2_3w10s_megatron_fl.json
Qwen3-4B,4b,4,1024,3,10,SlideFormer repo,2.006662747403488,2041.2,3.848046875,3.890625,51.773929595947266,qwen3_4b_bs4_3w10s_slideformer_repo.csv
Qwen3-4B,4b,4,1024,3,10,Megatron-LM-FL,1.967222860082984,2082.1230187550877,3.0211048126220703,3.578125,50.87043762207031,qwen3_4b_bs4_3w10s_megatron_fl.json
Qwen3-4B,4b,8,1024,3,10,SlideFormer repo,2.308320888162529,3548.9,4.1037109375,4.126953125,51.777259826660156,qwen3_4b_bs8_3w10s_slideformer_repo.csv
Qwen3-4B,4b,8,1024,3,10,Megatron-LM-FL,2.2041135473176836,3716.686923851691,3.607410430908203,3.892578125,53.03071594238281,qwen3_4b_bs8_3w10s_megatron_fl.json
Qwen3-4B,4b,16,1024,3,10,SlideFormer repo,3.9080240435072993,4192.4,5.24677734375,5.2578125,54.02321243286133,qwen3_4b_bs16_3w10s_slideformer_repo.csv
Qwen3-4B,4b,16,1024,3,10,Megatron-LM-FL,3.8524995082989335,4252.823385105203,4.711597442626953,5.140625,54.23385238647461,qwen3_4b_bs16_3w10s_megatron_fl.json
Qwen3-4B,4b,32,1024,3,10,SlideFormer repo,7.411059595160014,4421.5,7.5328125,7.54296875,58.5447883605957,qwen3_4b_bs32_3w10s_slideformer_repo.csv
Qwen3-4B,4b,32,1024,3,10,Megatron-LM-FL,7.458743523992598,4393.233242917513,7.200977325439453,7.857421875,58.770538330078125,qwen3_4b_bs32_3w10s_megatron_fl.json
Qwen3-4B,4b,64,1024,3,10,SlideFormer repo,14.416507182296137,4545.9,12.10478515625,12.115234375,67.52671813964844,qwen3_4b_bs64_3w10s_slideformer_repo.csv
Qwen3-4B,4b,64,1024,3,10,Megatron-LM-FL,14.574384402483702,4496.656475509981,12.179737091064453,13.30859375,68.92690658569336,qwen3_4b_bs64_3w10s_megatron_fl.json
Qwen3-8B,8b,1,1024,3,10,SlideFormer repo,3.511659807956104,291.6,5.87734375,5.90234375,97.3877944946289,qwen3_8b_bs1_3w10s_slideformer_repo.csv
Qwen3-8B,8b,1,1024,3,10,Megatron-LM-FL,3.646396851167083,280.82516571728985,4.259035110473633,4.30078125,99.19334030151367,qwen3_8b_bs1_3w10s_megatron_fl.json
Qwen3-8B,8b,2,1024,3,10,SlideFormer repo,3.5128644939965694,583.0,5.95791015625,5.98046875,97.66739654541016,qwen3_8b_bs2_3w10s_slideformer_repo.csv
Qwen3-8B,8b,2,1024,3,10,Megatron-LM-FL,3.6563345659524202,560.1237969497813,4.308450698852539,4.37890625,99.4742660522461,qwen3_8b_bs2_3w10s_megatron_fl.json
Qwen3-8B,8b,4,1024,3,10,SlideFormer repo,3.5629784272790537,1149.6,6.103515625,6.13671875,98.23599243164062,qwen3_8b_bs4_3w10s_slideformer_repo.csv
Qwen3-8B,8b,4,1024,3,10,Megatron-LM-FL,3.7276673056185246,1098.8105064597116,4.407266616821289,4.53515625,100.03551483154297,qwen3_8b_bs4_3w10s_megatron_fl.json
Qwen3-8B,8b,8,1024,3,10,SlideFormer repo,3.81307019177062,2148.4,6.39482421875,6.451171875,99.35895919799805,qwen3_8b_bs8_3w10s_slideformer_repo.csv
Qwen3-8B,8b,8,1024,3,10,Megatron-LM-FL,4.130615348368883,1983.2396166432918,4.8029584884643555,5.083984375,101.17183303833008,qwen3_8b_bs8_3w10s_megatron_fl.json
